"magnitude","latitude","longitude","depth"
"4.4","36.4188","36.2183","10"
"4.6","38.0957","38.2361","15.345"
"4.4","38.0053","38.042","10"
"4.4","37.3082","37.7106","10"
"4.1","38.0197","38.3054","10"
"4.1","37.7999","37.7821","10"
"4.4","37.4966","37.1888","5.336"
"4.2","37.3768","37.0793","11.165"
"4.6","37.7898","37.8568","16.551"
"4.5","37.4609","37.1603","16.174"
"4.5","36.7176","36.4733","10"
"4.3","37.7907","37.4444","17.034"
"4.4","36.3649","36.4413","10"
"4.3","37.2919","36.8854","12.932"
"4.1","37.555","37.2001","13.385"
"5","38.1845","38.5342","16.416"
"4.5","37.5236","37.2784","11.788"
"4.4","38.1847","38.6102","9.958"
"4.2","37.0844","36.9133","12.1"
"4.1","37.7658","37.4588","10"
"4.4","37.8315","37.3919","5.017"
"4.3","36.6427","36.426","10"
"4.2","37.3982","36.8946","10"
"4.3","37.7604","37.4251","14.46"
"4.8","38.1656","38.65","16.431"
"4.3","37.2442","37.1335","15.704"
"4.2","38.2368","38.5132","9.221"
"4.2","37.0297","36.7506","10"
"4.4","38.0773","38.5775","16.819"
"4.4","37.9268","37.8357","5.884"
"4.3","38.1446","38.558","12.514"
"4","37.733","37.4257","10"
"4.3","38.0715","38.4951","17.34"
"4.5","37.5003","37.3267","3.572"
"4.4","37.7127","37.8001","16.08"
"4.7","38.1742","38.482","16.696"
"4.4","37.9204","37.7822","10"
"4.1","38.1475","38.435","14.043"
"4.4","38.8297","38.8005","14.19"
"4.7","36.7084","36.3519","10"
"4.2","38.5461","40.4563","12.85"
"4.2","36.8497","36.3895","10"
"4.2","37.8697","38.3908","10"
"4.7","37.0822","37.0363","10"
"4.3","37.4941","37.2266","14.637"
"4.4","38.1084","38.495","17.891"
"4.5","37.5639","37.1467","17.393"
"4.5","37.4137","36.8216","12.112"
"4.1","37.4292","36.9502","8.01"
"5.3","37.1816","36.9658","11.359"
"4.2","37.4358","37.0658","14.349"
"4.8","37.1024","36.7301","12.201"
"4.2","37.4468","37.0449","10"
"4.2","37.2863","36.8539","10"
"4.1","37.9265","38.2237","16.711"
"4.4","38.1562","38.5195","14.253"
"5","37.9227","38.0613","10"
"5.3","37.7712","37.9141","16.929"
"4.8","37.3512","37.095","10.502"
"4.5","37.7238","37.8026","16.202"
"5.1","37.0302","36.6208","10"
"4.3","37.7175","37.3615","10"
"4.4","37.2073","36.5988","10"
"4.4","36.3603","36.1708","10"
"4.7","37.4756","37.1578","7.445"
"4.5","36.7205","36.6192","10"
"4.8","38.2407","38.7424","15.123"
"4.9","37.9828","38.1435","10"
"4.6","38.6055","40.5767","11.35"
"4.6","37.9792","38.5117","14.252"
"4.7","36.6696","36.4767","10"
"5.6","36.9921","36.6832","10"
"6.7","37.1893","36.8929","9.797"
"5.7","37.2252","37.0001","10"
"7.8","37.2256","37.0143","10"
"4.2","37.2003","36.4998","10"
"4","38.5428","44.8784","10"
"4.2","38.5153","44.8139","10"
"4.2","38.5594","44.717","10"
"4.5","38.4819","44.7507","10"
"4.7","38.4906","44.8693","10"
"4.1","38.6392","44.8223","10"
"4.5","38.6005","44.8287","10"
"5.1","38.4811","44.9282","10"
"5.9","38.4199","44.9097","16"
"4.2","36.089","31.6537","87.455"
"4.3","38.5878","44.7612","10"
"4.4","38.3997","44.9477","10"
"4.1","36.9911","36.1694","10"
"4.3","38.472","44.9169","16.66"
"5.7","38.4334","44.9458","19.102"
"4.7","38.4311","39.156","10"
"3.2","37.943","27.3214","10"
"4.9","39.4874","26.2503","10"
"4.6","39.4132","26.1996","12.538"
"4.8","39.389","26.1735","10"
"4.1","41.197","34.1385","12.346"
"4.4","40.0075","42.2048","13.14"
"4.1","37.1006","37.0917","25.656"
"4.6","36.392","36.4912","10"
"4.2","40.3585","27.0456","10"
"4.1","37.0933","28.3024","10"
"4.2","36.0737","27.0127","10.892"
"4.3","37.9374","27.2412","10"
"4.2","40.7866","30.9174","10"
"3.1","37.0273","30.6936","6.465"
"4.5","40.8448","31.01","10"
"4.4","40.8188","30.9274","10"
"6.1","40.8356","30.9831","10"
"4.6","36.9992","28.4542","10"
"4.2","38.7487","42.5778","10"
"4.2","38.6937","42.5508","10"
"4.8","38.339","27.2071","10"
"4.1","37.4183","37.142","10"
"4.3","37.3677","37.2943","10"
"4.1","37.9036","27.2683","10"
"4.2","37.8719","27.2544","10"
"4","38.3019","39.0543","10"
"5","37.2612","36.2339","10"
"4.6","37.0741","28.9243","10"
"4.3","39.602","40.5212","3.106"
"4.3","39.5387","40.5292","10"
"4.4","40.7747","42.9258","11.564"
"4","36.9112","27.6954","11.133"
"4","40.8132","43.0097","10"
"4.3","40.7497","42.9007","10"
"5.3","40.7188","42.8876","10"
"5.1","38.4613","44.9496","10"
"4.8","39.3672","40.7044","10.924"
"4.3","37.0733","28.6036","10"
"4.2","38.2452","44.0181","10"
"4","37.093","28.5153","10"
"4.6","37.5368","26.8049","10"
"5.4","37.5527","26.8515","10.926"
"4.7","37.5649","26.8151","10"
"5","37.9952","27.1512","11.697"
"4.2","37.4826","37.0408","10"
"4.3","40.635","34.7903","10"
"4.3","36.1379","29.697","37.627"
"4.2","36.1028","30.9478","81.804"
"4.2","39.4721","41.2253","2.283"
"4","37.363","37.0592","10"
"4.3","40.1461","27.3855","26.557"
"4","40.8374","31.2823","10"
"4.1","39.2566","27.7308","10"
"4.2","36.4826","31.0733","67.46"
"4.2","41.1684","43.937","10"
"4.7","41.1354","43.9928","10"
"4","38.8439","43.5181","10"
"4.4","39.1434","37.7879","8.07"
"5.2","38.7366","43.5068","10"
"4.3","36.0321","31.4165","62.57"
"4.6","38.8382","43.4028","10"
"4.3","39.8377","27.9827","10"
"4","39.8749","27.9645","10"
"4.9","36.0633","27.5159","17.71"
"4.3","38.9782","29.7287","5.89"
"4.1","39.483","40.7909","14.57"
"4.2","41.701","43.4425","10"
"4.2","36.4323","26.8293","134.49"
"4","36.5108","28.5676","57.36"
"4.3","41.112","44.065","12.45"
"4.3","38.1744","26.1468","4.78"
"4.9","41.1134","44.0631","10"
