latitude,longitude,depth,magnitude,exponent
34.39,142.15,15,5.47,24
55.1,164.5,15,5.66,24
55.03,164.21,16.6,6.01,25
-22.4,-174.03,15,6.07,25
-5.07,152.84,56,6.25,25
2.27,-95.11,15,5.44,24
-35.81,-102.86,15,6.03,25
-5.38,151.61,94.6,5.73,24
38.34,134.12,430.1,5.35,24
31.9,137.44,434.4,7.09,26
-55.77,-28.34,33,5.4,24
-56.95,-26.01,15,5.56,24
34.19,25.45,42,5.51,24
-56.68,-25.87,15,6.04,25
-21.52,179.41,679.5,5.34,24
-57.67,-25.93,15,5.36,24
1.4,125.77,50.9,5.87,24
-11.36,119.21,15,5.54,24
38.1,16.03,15,5.21,23
41.92,79.97,15,5.38,24
-30.69,-178.16,53.1,5.27,24
6.27,126.94,73.1,5.14,23
23.69,122.47,15,5.82,24
-9.78,115.9,97.7,5.36,24
26.22,140.65,270.1,6.47,25
29.83,66.43,39.2,6.11,25
-23.18,-175.07,15,5.53,24
-38.13,-93.57,15,5.85,24
17.15,-99.86,11,6.57,25
-1.32,-15.25,15,5.76,24
35.64,140.01,42.7,5.4,24
0.89,-29.34,15,6.02,25
0.9,-29.2,15,6.19,25
17.09,122.63,39.1,5.33,24
43.75,149.33,10,6.63,26
43.55,149.41,23.9,6.38,25
43.81,149.23,41.5,7.03,26
44.12,149.27,28.3,7.55,27
43.93,149.12,48,5.94,25
43.94,150.2,22.1,6.49,25
-24.73,-180,481.5,5.59,24
30.04,-67.57,15,6.17,25
44.2,148.98,30.7,7.5,27
42.37,78.69,34.7,6.87,26
43.87,149,33.6,5.32,24
-21.26,-178.82,599.6,5.9,24
43.68,148.97,21.2,5.75,24
-8.68,125.15,51.3,6.06,25
-5.32,127.15,405.1,5.64,24
48.4,155.32,40.1,6.07,25
-6.48,148.81,54.5,5.92,24
-19.69,168.76,98.3,6.04,25
-22.41,-174.02,15,5.59,24
61.43,-151.6,98.4,5.03,23
-6.91,154.82,49.6,5.73,24
-60.88,153.81,15,5.37,24
-19.55,-69.42,118.4,5.55,24
-52.22,114.66,15,5.14,23
-5,133.78,24.3,6.27,25
-35.99,-101.14,15,5.97,25
33.03,82.03,10,5.89,24
6.84,123.79,20.4,5.91,24
10.2,-78.28,15,6.28,25
39.59,144.19,30.1,5.55,24
35.28,140.71,30,5.97,25
-11.34,116.78,13.2,6.57,25
-9.68,148.97,15,5.96,25
-20,-173.54,17.6,5.92,24
55.78,-152.98,33.2,6.51,25
-5.23,131.31,88.1,5.32,24
3.38,127.45,83.8,5.42,24
41.5,75.45,33,5.01,23
-16.78,-74.1,51,5.64,24
37.77,14.63,33.9,6.03,25
-25.13,178.29,598.4,5.69,24
5.01,127.28,113.9,6.31,25
46.51,151.92,78.7,5.44,24
36.21,70.4,248.3,6.04,25
42.26,86.54,15,5.27,24
51.73,-175.77,40.5,5.35,24
-21.82,-173.77,15,5.84,24
6.2,123.86,23.8,5.85,24
4.78,124.6,31,6.22,25
-3.03,138.88,15,5.86,24
12.41,-72.81,62,5.16,23
-6.2,103.51,50,5.57,24
-10.08,160.23,15,6.07,25
24.34,122.79,15,5.89,24
-19.25,-177.64,584.7,5.57,24
-9.79,125.28,15,5.58,24
-58.58,-26.26,77.9,5.6,24
3.76,126.7,39.5,5.35,24
-21.05,-177.68,302.8,5.42,24
-20.78,-178.05,515.8,5.38,24
-10.35,116.76,15,5.3,24
29.8,66.2,33,5.86,24
-21.68,-174.23,17.7,5.24,23
27.77,139.68,493.8,5.48,24
37.14,141.99,33.6,5.33,24
51.57,-175.97,37.6,6.12,25
61.21,-27.3,15,5.12,23
13.77,-92.66,41.2,5.46,24
62.45,-149.35,67.1,5.16,23
35.94,141.9,40.2,5.29,24
-14.61,166.9,180.4,6.8,26
-15.48,-173.27,40,5.77,24
-61.56,153.7,15,5.73,24
-56.64,-25.65,15,5.82,24
40.65,141.04,15,5.47,24
40.94,141.31,15,5.5,24
-18.11,-178.64,604.7,5.35,24
-20.66,-173.33,35,5.1,23
-20.27,168.61,54.1,5.12,23
-23.08,179.95,558.1,5.18,23
40.79,122.56,15,5.48,24
-37.42,51.41,15,5.08,23
-3.5,69.95,15,5.47,24
